"The fan is too hot, turn it off.",0
Turn off the indoor ceiling fan.,0
"The fan is not stable, please turn it off.",0
Turn on the indoor standing fan.,1
Please turn the fan to its medium setting.,1
Turn off the outdoor box fan.,0
"The fan is too powerful, turn it down.",0
Turn on the indoor oscillating fan.,1
"The fan is too weak, turn it up.",1
Turn off the indoor box fan.,0
Please turn the fan to its lowest speed.,1
Turn on the indoor wall-mounted fan.,1
"The fan is not balanced, please turn it off.",0
Turn off the outdoor wall-mounted fan.,0
"The fan is obstructed, please turn it off.",0
Turn on the indoor ceiling-mounted fan.,1
Please turn the fan to its highest speed.,1
Turn off the outdoor ceiling-mounted fan.,0
"The fan is dirty, please turn it off.",0
Turn on the indoor floor fan.,1
"The fan is too close to the wall, turn it off.",0
Turn off the outdoor floor fan.,0
Please turn the fan to its medium-high speed.,1
Turn on the indoor wall-mounted oscillating fan.,1
"The fan is too far away, turn it up.",1
Turn off the outdoor wall-mounted oscillating fan.,0
"The fan is too loud, turn it down.",0
Turn on the indoor ceiling-mounted oscillating fan.,1
Please turn the fan to its medium-low speed.,1
Turn off the outdoor ceiling-mounted oscillating fan.,0
"The fan is too dirty, please turn it off.",0
Turn on the indoor standing oscillating fan.,1
"The fan is in the wrong position, turn it off.",0
Turn off the outdoor standing oscillating fan.,0
Please turn the fan to its medium-high setting.,1
Turn on the indoor table oscillating fan.,1
"The fan is not secure, please turn it off.",0
Turn off the outdoor table oscillating fan.,0
Please turn the fan to its medium-low setting.,1
Turn on the indoor box oscillating fan.,1
"The fan is making a grinding noise, turn it off.",0
Turn off the outdoor box oscillating fan.,0
Please turn the fan to its highest speed.,1
Turn on the indoor pedestal oscillating fan.,1
"The fan is too weak, turn it up.",1
Turn off the outdoor pedestal oscillating fan.,0
"The fan is too powerful, turn it down.",0
Turn on the indoor wall-mounted box fan.,1
Please turn the fan to its lowest speed.,1
Turn off the outdoor wall-mounted box fan.,0
"The fan is too hot, turn it off.",0
Turn on the indoor ceiling-mounted box fan.,1
"The fan is not oscillating, please turn it on.",1
Turn off the outdoor ceiling-mounted box fan.,0
Please turn the fan to its medium speed.,1
Turn on the indoor floor oscillating fan.,1
"The fan is too high, turn it down.",0
Turn off the outdoor floor oscillating fan.,0
"The fan is not blowing in the right direction, please turn it around.",1
Turn on the indoor wall-mounted tower fan.,1
Please turn the fan to its highest setting.,1
Turn off the outdoor wall-mounted tower fan.,0
"The fan is not plugged in, please turn it on.",1
Turn on the indoor ceiling-mounted tower fan.,1
"The fan is too low, turn it up.",1
Turn off the outdoor ceiling-mounted tower fan.,0
Please turn the fan to its medium-high speed.,1
Turn on the indoor standing tower fan.,1
"The fan is too noisy, turn it down.",0
Turn off the outdoor standing tower fan.,0
Please turn the fan to its medium-low speed.,1
Turn on the indoor table tower fan.,1
"The fan is too dusty, turn it off.",0
Turn off the outdoor table tower fan.,0
Please turn the fan to its medium speed.,1
Turn on the indoor box tower fan.,1
"The fan is too far away, turn it up.",1
Turn off the outdoor box tower fan.,0
Please turn the fan to its lowest setting.,1
Turn on the indoor pedestal tower fan.,1
"The fan is not stable, turn it off.",0
Turn off the outdoor pedestal tower fan.,0
Please turn the fan to its highest speed.,1
Turn on the indoor wall-mounted oscillating tower fan.,1
"The fan is not blowing in the right direction, turn it around.",1
Turn off the outdoor wall-mounted oscillating tower fan.,0
Please turn the fan to its medium-low speed.,1
Turn on the indoor ceiling-mounted oscillating tower fan.,1
"The fan is too hot, turn it off.",0
Turn off the outdoor ceiling-mounted oscillating tower fan.,0
Please turn the fan to its medium-high setting.,1
Turn on the indoor floor oscillating tower fan.,1
"The fan is too powerful, turn it down.",0
Turn off the outdoor floor oscillating tower fan.,0
Please turn the fan to its medium speed.,1
Turn on the indoor standing oscillating tower fan.,1
"The fan is not oscillating, turn it on.",0
Turn off the outdoor standing oscillating tower fan.,0
Please turn the fan to its highest speed.,1
Turn on the indoor table oscillating fan.,1
"The fan is not powerful enough, turn it up.",1
Turn off the outdoor table oscillating fan.,0
Please turn the fan to its lowest speed.,0
